experiment,A.1 Expected Annual Damage,A.1 Dike Investment Costs,A.1_Expected Number of Deaths,A.2 Expected Annual Damage,A.2 Dike Investment Costs,A.2_Expected Number of Deaths,A.3 Expected Annual Damage,A.3 Dike Investment Costs,A.3_Expected Number of Deaths,A.4 Expected Annual Damage,A.4 Dike Investment Costs,A.4_Expected Number of Deaths,A.5 Expected Annual Damage,A.5 Dike Investment Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
72,251744177.81728023,0,0.22647838534151482,19989838.87304216,0,0.024668440616748,660692652.4395596,0,1.4825758950646382,0.0,0,0.0,197988635.8988172,0,0.22022111810079792,0.0,0.0
73,2883961553.429314,0,1.9665440110987902,0.0,0,0.0,23575575.34927111,0,0.04339280754981002,0.0,0,0.0,72656312.88719071,0,0.0672772411078117,0.0,0.0
74,2986209856.8135805,0,1.9209876587711063,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
75,24439344.694202054,0,0.018769168818999094,161018371.93746656,0,0.15808980125416153,1211670862.1794248,0,2.191610532875252,123124192.55162838,0,0.05024040958271456,0.0,0,0.0,0.0,0.0
76,377823232.7194927,0,0.24742158928927047,299821918.7467406,0,0.25445177594761403,47057427.83201713,0,0.07796820808244415,0.0,0,0.0,0.0,0,0.0,0.0,0.0
77,3642349647.4283795,0,1.9239393957921553,30945496.694744043,0,0.023101494972725154,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
78,0.0,0,0.0,12076006.270715903,0,0.0133382490703404,60861491.06510128,0,0.12461892087397208,8706699.15975558,0,0.005204075713920242,42655648.78884354,0,0.044019052522307846,0.0,0.0
79,2925651714.5345473,0,1.9209876587711063,10995755.923093136,0,0.009596467082026003,0.0,0,0.0,4653062.703866024,0,0.0018829871042605325,0.0,0,0.0,0.0,0.0
80,0.0,0,0.0,140303194.26152015,0,0.15847460992261106,453189871.39096427,0,0.961350058576969,0.0,0,0.0,0.0,0,0.0,0.0,0.0
81,1955004145.3821354,0,1.2247105914474914,13282131.270954654,0,0.01138310567485902,0.0,0,0.0,130167012.02811742,0,0.045923369976015704,0.0,0,0.0,0.0,0.0
82,2276703599.819884,0,1.9239393957921553,0.0,0,0.0,0.0,0,0.0,175163.15676842185,0,6.586905314545568e-05,0.0,0,0.0,0.0,0.0
